-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/01/2025 through 11/13/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-41.5,-72.5,2025,10,1,4.5636
-41.5,-71.5,2025,10,1,6.3233
-41.5,-70.5,2025,10,1,5.8277
-41.5,-69.5,2025,10,1,5.4278
-41.5,-68.5,2025,10,1,5.6479
-41.5,-67.5,2025,10,1,4.4244
-41.5,-66.5,2025,10,1,3.025
-41.5,-65.5,2025,10,1,4.5758
-40.5,-72.5,2025,10,1,5.9875
-40.5,-71.5,2025,10,1,6.5282
-40.5,-70.5,2025,10,1,6.4603
-40.5,-69.5,2025,10,1,6.2923
-40.5,-68.5,2025,10,1,5.538
-40.5,-67.5,2025,10,1,5.25
-40.5,-66.5,2025,10,1,5.2027
-40.5,-65.5,2025,10,1,4.9615
-41.5,-72.5,2025,10,2,5.2536
-41.5,-71.5,2025,10,2,6.5381
-41.5,-70.5,2025,10,2,6.1207
-41.5,-69.5,2025,10,2,5.759
-41.5,-68.5,2025,10,2,5.3856
-41.5,-67.5,2025,10,2,5.5529
-41.5,-66.5,2025,10,2,5.7115
-41.5,-65.5,2025,10,2,5.8212
-40.5,-72.5,2025,10,2,5.1533
-40.5,-71.5,2025,10,2,6.5731
-40.5,-70.5,2025,10,2,6.1925
-40.5,-69.5,2025,10,2,5.166
-40.5,-68.5,2025,10,2,5.8063
-40.5,-67.5,2025,10,2,6.4238
-40.5,-66.5,2025,10,2,6.2506
-40.5,-65.5,2025,10,2,6.2191
-41.5,-72.5,2025,10,3,0.9996
-41.5,-71.5,2025,10,3,4.0555
-41.5,-70.5,2025,10,3,5.1686
-41.5,-69.5,2025,10,3,5.621
-41.5,-68.5,2025,10,3,5.5783
-41.5,-67.5,2025,10,3,5.7086
-41.5,-66.5,2025,10,3,5.083
-41.5,-65.5,2025,10,3,5.255
-40.5,-72.5,2025,10,3,2.9878
-40.5,-71.5,2025,10,3,5.4821
-40.5,-70.5,2025,10,3,5.4694
-40.5,-69.5,2025,10,3,5.9366
-40.5,-68.5,2025,10,3,6.0451
-40.5,-67.5,2025,10,3,5.5058
-40.5,-66.5,2025,10,3,5.623
-40.5,-65.5,2025,10,3,5.8426
-41.5,-72.5,2025,10,4,4.7765
-41.5,-71.5,2025,10,4,5.2433
-41.5,-70.5,2025,10,4,3.6336
-41.5,-69.5,2025,10,4,4.3949
-41.5,-68.5,2025,10,4,4.691
-41.5,-67.5,2025,10,4,4.7474
-41.5,-66.5,2025,10,4,3.9658
-41.5,-65.5,2025,10,4,5.6366
-40.5,-72.5,2025,10,4,5.4672
-40.5,-71.5,2025,10,4,6.0002
-40.5,-70.5,2025,10,4,5.4038
-40.5,-69.5,2025,10,4,4.8283
-40.5,-68.5,2025,10,4,4.6562
-40.5,-67.5,2025,10,4,5.9482
-40.5,-66.5,2025,10,4,6.2676
-40.5,-65.5,2025,10,4,5.7091
-41.5,-72.5,2025,10,5,4.0241
-41.5,-71.5,2025,10,5,5.3458
-41.5,-70.5,2025,10,5,5.2661
-41.5,-69.5,2025,10,5,4.3522
-41.5,-68.5,2025,10,5,3.7522
-41.5,-67.5,2025,10,5,3.3002
-41.5,-66.5,2025,10,5,2.695
