Fecha-hora,PARQUE,Potencia posible,Potencia real,Temperatura ambiente,Irradiancia panel [kWh/m2],Irradiancia horizontal [kWh/m2]
2025-09-01 00:00:00,MALARGUE,0,0,1,8,0.00
2025-09-01 00:10:00,MALARGUE,0,0,1,8,0.00
2025-09-01 00:20:00,MALARGUE,0,0,1,8,0.00
2025-09-01 00:30:00,MALARGUE,0,0,1,8,0.00
2025-09-01 00:40:00,MALARGUE,0,0,1,8,0.00
2025-09-01 00:50:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:00:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:10:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:20:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:30:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:40:00,MALARGUE,0,0,1,8,0.00
2025-09-01 01:50:00,MALARGUE,0,0,2,8,-1.00
2025-09-01 02:00:00,MALARGUE,0,0,2,8,0.00
2025-09-01 02:10:00,MALARGUE,0,0,2,8,0.00
2025-09-01 02:20:00,MALARGUE,0,0,2,8,0.00
2025-09-01 02:30:00,MALARGUE,0,0,1,8,0.00
2025-09-01 02:40:00,MALARGUE,0,0,2,8,0.00
2025-09-01 02:50:00,MALARGUE,0,0,1,8,0.00
2025-09-01 03:00:00,MALARGUE,0,0,1,8,0.00
2025-09-01 03:10:00,MALARGUE,0,0,1,8,0.00
2025-09-01 03:20:00,MALARGUE,0,0,1,8,0.00
2025-09-01 03:30:00,MALARGUE,0,0,1,8,0.00
2025-09-01 03:40:00,MALARGUE,0,0,0,8,0.00
2025-09-01 03:50:00,MALARGUE,0,0,0,8,0.00
2025-09-01 04:00:00,MALARGUE,0,0,1,8,0.00
2025-09-01 04:10:00,MALARGUE,0,0,1,8,0.00
2025-09-01 04:20:00,MALARGUE,0,0,1,8,0.00
2025-09-01 04:30:00,MALARGUE,0,0,0,8,0.00
2025-09-01 04:40:00,MALARGUE,0,0,1,8,0.00
2025-09-01 04:50:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:00:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:10:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:20:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:30:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:40:00,MALARGUE,0,0,0,8,0.00
2025-09-01 05:50:00,MALARGUE,0,0,0,8,0.00
2025-09-01 06:00:00,MALARGUE,0,0,-1,8,0.00
2025-09-01 06:10:00,MALARGUE,0,0,-1,8,0.00
2025-09-01 06:20:00,MALARGUE,0,0,0,7,-3.00
2025-09-01 06:30:00,MALARGUE,0,0,0,7,-2.00
2025-09-01 06:40:00,MALARGUE,0,0,-1,7,-1.00
2025-09-01 06:50:00,MALARGUE,0,0,-1,8,-1.00
2025-09-01 07:00:00,MALARGUE,0,0,-1,9,0.00
2025-09-01 07:10:00,MALARGUE,0,0,-1,8,0.00
2025-09-01 07:20:00,MALARGUE,0,0,-1,9,2.00
2025-09-01 07:30:00,MALARGUE,0,0,0,9,1.00
2025-09-01 07:40:00,MALARGUE,0,0,-1,9,1.00
2025-09-01 07:50:00,MALARGUE,0,0,-1,8,0.00
